uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
55899,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,88,49,0.08,0.05,0.0710200198168286,0.7801644379886152,0.104886982857184,0.0
55899,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,88,49,0.08,0.05,0.0710200198168286,0.7801644379886152,0.104886982857184,0.0
69820,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,76,10,18,14,0.1052631578947368,0.2,0.1494678434180355,0.7684606996167523,0.0939082290688328,0.0
69820,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,76,10,18,14,0.1052631578947368,0.2,0.1494678434180355,0.7684606996167523,0.0939082290688328,0.0
69820,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,76,10,18,14,0.1052631578947368,0.2,0.1494678434180355,0.7684606996167523,0.0939082290688328,0.0
20897,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,37,23,0.2105263157894736,0.4,0.4821897932930905,0.7740993139453144,0.5617425013496995,0.0
20897,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,37,23,0.2105263157894736,0.4,0.4821897932930905,0.7740993139453144,0.5617425013496995,0.0
20897,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,37,23,0.2105263157894736,0.4,0.4821897932930905,0.7740993139453144,0.5617425013496995,0.0
18295,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,29,0.1447368421052631,0.25,0.1831410915442683,0.7631434075626499,0.1065254422220366,0.0
18295,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,29,0.1447368421052631,0.25,0.1831410915442683,0.7631434075626499,0.1065254422220366,0.0
18295,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,29,0.1447368421052631,0.25,0.1831410915442683,0.7631434075626499,0.1065254422220366,0.0
54017,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,18,13,0.0263157894736842,0.05,0.050595682974617,0.775811221875207,0.0657203161905174,0.0
54017,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,18,13,0.0263157894736842,0.05,0.050595682974617,0.775811221875207,0.0657203161905174,0.0
54017,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,18,13,0.0263157894736842,0.05,0.050595682974617,0.775811221875207,0.0657203161905174,0.0
36082,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,38,24,0.0394736842105263,0.15,0.2217250106598628,0.7703458803132731,0.2397739657143681,0.0
36082,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,38,24,0.0394736842105263,0.15,0.2217250106598628,0.7703458803132731,0.2397739657143681,0.0
36082,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,38,24,0.0394736842105263,0.15,0.2217250106598628,0.7703458803132731,0.2397739657143681,0.0
