uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
38927,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,473,0,10,145,77,10,24,17,0.3246753246753247,0.65,0.696390303064614,0.8073177643393894,0.7362872363704407,0.0
33943,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,454,0,10,144,76,10,15,12,0.3947368421052631,0.75,0.7947144237606125,0.8078508275145402,0.8193125882115819,0.0
32308,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,488,0,10,144,76,10,141,75,0.2105263157894736,0.1,0.186848683235329,0.8131869463410947,0.230131108571511,0.0
24592,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,146,77,10,42,25,0.2207792207792207,0.5,0.5434805864757672,0.8033441491149222,0.575686582079771,0.0
66390,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,519,0,10,144,77,10,60,34,0.2597402597402597,0.6,0.6575783036458539,0.7985951047541209,0.6726891576775478,0.0
24592,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,475,0,10,146,77,10,42,25,0.2207792207792207,0.5,0.6251689330868249,0.8012377270242723,0.7726409185929309,0.0
22035,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,494,0,10,148,78,10,20,14,0.3974358974358974,0.85,0.8868163759223369,0.8117495537045714,0.9273154288092368,0.0
30897,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,146,78,10,55,32,0.3205128205128205,0.45,0.4859824720005471,0.8138909931418309,0.4485879913859789,0.0
267,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,148,78,10,121,65,0.282051282051282,0.55,0.5800716679795229,0.806483750675971,0.598466386984189,0.0
22035,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,494,0,10,148,78,10,20,14,0.3974358974358974,0.85,0.8868163759223369,0.8117495537045714,0.9273154288092368,0.0
69716,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,507,0,10,147,78,10,36,23,0.2051282051282051,0.5,0.5352079178716977,0.7969909652243724,0.5470641883915878,0.0
30897,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,146,78,10,55,32,0.3205128205128205,0.45,0.4859824720005471,0.8138909931418309,0.4485879913859789,0.0
30897,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,146,78,10,55,32,0.3205128205128205,0.45,0.4859824720005471,0.8138909931418309,0.4485879913859789,0.0
69716,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,502,2,10,147,78,10,36,23,0.1666666666666666,0.4,0.4496443343146852,0.6411326414264138,0.4656943623971488,0.0
267,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,148,78,10,121,65,0.282051282051282,0.55,0.5800716679795229,0.806483750675971,0.598466386984189,0.0
69716,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,503,2,10,147,78,10,36,23,0.1794871794871795,0.45,0.4819826254630051,0.6420876940957718,0.4681943623971487,0.0
267,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,496,0,10,148,78,10,121,65,0.282051282051282,0.55,0.5800716679795229,0.806483750675971,0.598466386984189,0.0
60863,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,508,0,10,146,77,10,69,39,0.3246753246753247,0.5,0.5841066290938001,0.8111759742092549,0.6582238773008896,0.0
60863,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,508,0,10,146,77,10,69,39,0.3246753246753247,0.55,0.6250682011508013,0.8111759742092549,0.6948004205976342,0.0
60863,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,508,0,10,146,77,10,69,39,0.3246753246753247,0.5,0.5841066290938001,0.8111759742092549,0.6582238773008896,0.0
22035,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,494,0,10,148,78,10,20,14,0.3974358974358974,0.85,0.8868163759223369,0.8117495537045714,0.9273154288092368,0.0
8858,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,498,0,10,150,80,10,16,13,0.3625,0.65,0.7244502605515073,0.8042333831241414,0.7831804616092541,0.0
19741,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,480,0,10,150,80,10,82,45,0.2875,0.55,0.4687152535485772,0.8163396712203002,0.3888756305184323,0.0
31193,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,515,0,10,150,79,10,45,27,0.3037974683544304,0.6,0.6524904936601452,0.804921660921159,0.6975566665446695,0.0
19741,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,479,0,10,150,80,10,82,45,0.2875,0.55,0.46818857412932,0.817368848106116,0.3862440515710639,0.0
31193,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,515,0,10,150,79,10,45,27,0.3037974683544304,0.6,0.6524904936601452,0.804921660921159,0.6975566665446695,0.0
13014,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,516,0,10,149,79,10,23,16,0.3924050632911392,0.8,0.8340606222497713,0.8064176790768022,0.8552641315083267,0.0
13014,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,516,0,10,149,79,10,23,16,0.3924050632911392,0.8,0.8340606222497713,0.8064176790768022,0.8552641315083267,0.0
13014,22222,20,20,False,1,0.0,stratified,zero,3,0.75,0.99,gpt,519,0,10,149,79,10,23,16,0.4050632911392405,0.85,0.8796105376521305,0.8079560547479187,0.90549003198384,0.0
