uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final,novelty,popular
55899,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1791,9,10,142,75,10,88,49,0.0533333333333333,0.2105263157894736,0.2763443934011775,0.5857099720109524,0.2919348708883498,0.8947368421052632,0.2555952380952381,0.0
54017,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1795,2,10,143,76,10,18,13,0.1842105263157894,0.45,0.4506745592108996,0.6353533438633213,0.5016376010900003,0.65,0.2292222222222221,0.0
15783,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1738,0,10,143,76,10,48,28,0.2236842105263158,0.5263157894736842,0.6093902238081434,0.7903880665051267,0.6581175161629783,1.0,0.4113450292397661,0.0
36082,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1744,1,10,143,76,10,38,24,0.2368421052631578,0.5,0.5796349629525027,0.7035754644620014,0.6764854245246402,0.2777777777777778,0.3988505747126436,0.0
36082,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1800,3,10,143,76,10,38,24,0.3421052631578947,0.7222222222222222,0.6293264020244441,0.7796045801887318,0.5997078402715658,0.1666666666666666,0.4662068965517243,0.0
20897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1737,0,10,143,76,10,37,23,0.2894736842105263,0.5,0.4323397572588728,0.7916303002841383,0.3898087844817721,0.65,0.5757471264367817,0.0
36082,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1763,0,10,143,76,10,38,24,0.3421052631578947,0.7222222222222222,0.6279221595186728,0.7796045801887318,0.5929676441931343,0.1666666666666666,0.3593103448275863,0.0
54017,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1795,2,10,143,76,10,18,13,0.1842105263157894,0.45,0.4506745592108996,0.6353533438633213,0.5016376010900003,0.65,0.2292222222222221,0.0
15783,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1755,0,10,143,76,10,48,28,0.1184210526315789,0.3888888888888889,0.3083867239453602,0.7905019017918411,0.2390687834315285,1.0,0.4394152046783626,0.0
20897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1753,0,10,143,76,10,37,23,0.2763157894736842,0.4,0.427781366110573,0.7849466359818204,0.4303366359732459,1.0,0.3914942528735632,0.0
15783,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1754,0,10,143,76,10,48,28,0.1578947368421052,0.4736842105263157,0.5353636704366992,0.780941641438207,0.5847990701746607,1.0,0.3815204678362573,0.0
20897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1799,2,10,143,76,10,37,23,0.0394736842105263,0.1052631578947368,0.1090714555315533,0.6989060418412898,0.1436217182958261,1.0,0.3671264367816093,0.0
18295,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1780,1,10,143,76,10,48,29,0.1447368421052631,0.65,0.7046117062934171,0.7126573537087175,0.748244242857246,0.75,0.2664327485380117,0.0
54017,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1816,2,10,143,76,10,18,13,0.1052631578947368,0.35,0.3139681013989474,0.806281596294882,0.3005796467464424,1.0,0.174,0.0
18295,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1700,3,10,143,76,10,48,29,0.131578947368421,0.8421052631578947,0.8527217281772864,0.7824187058666359,0.828990981453504,1.0,0.1635087719298245,0.0
18295,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1700,3,10,143,76,10,48,29,0.131578947368421,0.8421052631578947,0.8527217281772864,0.7824187058666359,0.828990981453504,1.0,0.1635087719298245,0.0
24592,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1723,0,10,146,77,10,42,25,0.1818181818181818,0.3888888888888889,0.5095102174156093,0.7957158767666005,0.6027045530722002,0.5,0.3422222222222222,0.0
38927,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1679,2,10,145,77,10,24,17,0.2077922077922078,0.5263157894736842,0.4583623442518778,0.7935820464644503,0.4427105976600843,1.0,0.2743333333333332,0.0
66390,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1570,0,10,144,77,10,60,34,0.1168831168831168,0.3,0.3342288212116614,0.7926018120875412,0.4241018394230468,0.7,0.2312222222222222,0.0
66390,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1776,0,10,144,77,10,60,34,0.0779220779220779,0.5,0.4660763414596888,0.8050867250978501,0.4517082942856937,0.8,0.2243333333333333,0.0
24592,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1721,0,10,146,77,10,42,25,0.2337662337662337,0.5789473684210527,0.6504141881919844,0.7995558510815309,0.692285192040773,0.4736842105263157,0.3687777777777777,0.0
38927,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1665,1,10,145,77,10,24,17,0.1688311688311688,0.6,0.6669368816565135,0.8019985946498743,0.7112360478788498,1.0,0.2406666666666666,0.0
24592,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1769,0,10,146,77,10,42,25,0.1818181818181818,0.45,0.5008622270476913,0.7884834463157326,0.5189728404550386,1.0,0.2905555555555555,0.0
32308,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1782,8,10,144,76,10,141,75,0.0921052631578947,0.05,0.050595682974617,0.5088051299129694,0.0657203161905174,0.0,0.3867777777777776,0.0
32308,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1781,7,10,144,76,10,141,75,0.0921052631578947,0.05,0.050595682974617,0.5762108204166981,0.0657203161905174,0.0,0.3706666666666666,0.0
33943,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1759,0,10,144,76,10,15,12,0.1184210526315789,0.25,0.2166408683044727,0.7894485683983071,0.1863257807723752,1.0,0.2323333333333333,0.0
33943,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1759,0,10,144,76,10,15,12,0.1184210526315789,0.25,0.2166408683044727,0.7894485683983071,0.1863257807723752,1.0,0.2323333333333333,0.0
32308,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1782,8,10,144,76,10,141,75,0.0921052631578947,0.05,0.050595682974617,0.5088051299129694,0.0657203161905174,0.0,0.3867777777777776,0.0
38927,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1767,0,10,145,77,10,24,17,0.1688311688311688,0.35,0.3198605875547155,0.7884846991156461,0.3519253302167389,1.0,0.1815555555555555,0.0
66390,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1562,0,10,144,77,10,60,34,0.1038961038961039,0.45,0.4352814558628205,0.7948942307027755,0.4511183082912958,0.9,0.1837777777777777,0.0
33943,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1759,0,10,144,76,10,15,12,0.1184210526315789,0.25,0.2166408683044727,0.7894485683983071,0.1863257807723752,1.0,0.2323333333333333,0.0
30897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1709,3,10,146,78,10,55,32,0.1923076923076923,0.5,0.4157131107130782,0.7917756766651355,0.341894982597382,0.3,0.7424858757062145,0.0
30897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1701,1,10,146,78,10,55,32,0.2179487179487179,0.5789473684210527,0.5750275144568151,0.7920671710512035,0.6421340488942737,0.4210526315789473,0.7029378531073447,0.0
267,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1772,0,10,148,78,10,121,65,0.2435897435897435,0.2777777777777778,0.2328420074511227,0.7888009988957476,0.2054967771879536,0.2222222222222222,0.523502824858757,0.0
267,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1764,0,10,148,78,10,121,65,0.2435897435897435,0.4,0.3537365265782771,0.7963638701739068,0.3368860873388738,0.25,0.5081355932203391,0.0
30897,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1702,8,10,146,78,10,55,32,0.2051282051282051,0.7368421052631579,0.7926395612165466,0.6446890490162058,0.8599825368808586,0.2631578947368421,0.7981920903954799,0.0
69716,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1806,11,10,147,78,10,36,23,0.0641025641025641,0.2,0.1626591354655288,0.2757946881762854,0.1444451175759225,0.55,0.5046327683615819,0.0
60863,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1786,1,10,146,77,10,69,39,0.1688311688311688,0.2631578947368421,0.220881391296785,0.792669052677814,0.2008929910999325,1.0,0.4292655367231638,0.0
267,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1764,0,10,148,78,10,121,65,0.2435897435897435,0.4,0.3537365265782771,0.7963638701739068,0.3368860873388738,0.25,0.5081355932203391,0.0
22035,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1768,19,10,148,78,10,20,14,0.2307692307692307,0.5882352941176471,0.5061308446161064,0.7958219533641055,0.4944373389010067,0.7058823529411765,0.3784795321637426,0.0
60863,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1789,1,10,146,77,10,69,39,0.1428571428571428,0.15,0.1812717495648495,0.7008111612580447,0.2340458692064729,0.95,0.3697175141242938,0.0
